# Time(Myr) X(kpc) Y(kpc) Z(kpc) Vx(km/s) Vy(km/s) Vz(km/s) Distance(kpc) Energy(km^2/s^2)
0.000000e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.005750e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.005750e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
3.005750e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
4.005750e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
5.005750e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
6.005750e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
7.005750e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
8.005750e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
9.005750e+00 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.000575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.100575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.200575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.300575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.400575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.500575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.600575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.700575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.800575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.900575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.000575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.100575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.200575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.300575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.400575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.500575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.600575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.700575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.800575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
2.900575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
3.000575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
3.100575e+01 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
